seconds_since_Epoch,tested,positive,deaths
1583651326,,4,
1583713441,,6,
1583790458,,10,
1583855685,,11,
1583880061,,12,
1583909676,12,12,
1583936067,14,14,
1583951429,157,15,
1583981097,175,16,
1584022321,196,21,
1584055830,219,22,
1584137412,316,41,
1584204870,316,45,
1584214605,402,47,
1584295521,451,63,
1584396920,746,76,
1584475630,975,96,
1584563350,1320,133,
1584598356,1320,133,1
1584641940,1793,185,1
1584727343,2842,268,1
1584814996,4137,371,2
1584894599,5443,479,2
1584982168,7239,644,2
1584988373,7239,644,6
1585067114,9494,851,7
1585158458,12320,1127,11
1585243622,18128,1687,16
1585326353,23234,2218,22
1585414054,28005,2751,34
1585499554,33455,3394,38
1585583546,37864,4087,49
1585671592,42488,4843,63
1585760279,48232,5805,74
1585845723,54714,7016,90
1585933263,62115,8420,102
1586017983,70030,10017,136
1586106182,77771,11510,150
1586190842,83854,12980,162
1586275562,91278,14559,240
1586362443,98538,16239,310
1586449142,105602,18228,338
1586536382,113019,19979,416
1586621578,120153,21655,494
1586708299,124890,22833,507
1586795582,129792,24199,524
1586883721,133631,25345,584
1586967662,137584,26490,647
1587055202,141470,27735,707
1587141027,147373,29441,756
1587228842,153965,31069,836
1587321902,158854,32284,1112
1587405602,162952,33232,1204
1587486302,166851,34528,1564
1587595023,171956,35684,1622
