seconds_since_Epoch,tested,positive,deaths
1583651326,241,6,
1583768768,242,7,
1583790457,262,11,
1583880060,326,19,
1583981097,367,25,
1584055830,418,32,
1584137412,444,46,
1584225605,708,64,
1584306715,1025,93,
1584396920,1143,105,
1584498947,1500,160,1
1584563350,2052,288,1
1584661658,3151,422,4
1584750868,4286,585,5
1584820938,6247,753,6
1584910162,8374,1049,9
1584999109,9868,1285,12
1585081911,11485,1535,16
1585169788,14209,1865,19
1585257048,16631,2538,26
1585339080,21542,3026,34
1585424731,25429,3491,47
1585512536,27762,4596,65
1585598379,30446,5056,72
1585600094,30446,5057,73
1585685048,35225,5994,99
1585776709,40384,6980,141
1585858082,43656,7695,157
1585944062,48048,8904,210
1586031902,53581,10357,243
1586119923,58983,11256,274
1586204943,62942,12262,307
1586290502,68732,13549,380
1586377322,75066,15078,462
1586461682,80857,16422,528
1586548442,87527,17887,596
1586635682,92779,19180,677
1586723426,100735,20852,720
1586808712,105768,22025,794
1586894575,110616,23247,868
1586985047,116929,24593,948
1587069182,122589,25733,1072
1587141026,130163,27575,1134
1587242043,137404,29160,1259
1587328097,143318,30357,1290
1587414132,148358,31508,1349
1587503431,154997,33059,1468
1587587960,164346,35108,1565
