seconds_since_Epoch,tested,positive,deaths
1583651326,46,0,
1583730615,57,0,
1583823426,69,0,
1583896735,87,0,
1583951429,90,3,
1583981097,129,4,
1584055830,160,5,
1584063709,173,6,
1584137412,200,10,
1584148400,247,10,
1584225606,495,13,
1584333620,583,17,
1584396920,1270,21,
1584475630,1272,23,
1584498947,1720,23,
1584563350,2354,28,
1584661658,2797,35,
1584734752,3814,43,
1584823540,4779,57,
1584921301,5386,65,
1585004414,5973,83,
1585092445,6842,100,
1585175447,7793,112,
1585267264,8513,136,
1585346092,8513,136,1
1585349306,9387,191,1
1585431799,10977,208,1
1585434179,10977,208,2
1585513370,11006,237,2
1585533597,11179,237,2
1585611141,12527,281,4
1585694405,13240,315,5
1585779433,14011,363,6
1585868342,14778,403,7
1585950542,15632,495,7
1585951562,15632,495,10
1586043602,16828,543,11
1586126702,19136,624,12
1586212442,19198,686,12
1586217302,21825,686,12
1586298063,21933,794,13
1586305622,22245,794,13
1586385842,23807,865,16
1586477392,23931,989,17
1586536382,25241,989,17
1586561102,27098,1091,19
1586647152,28692,1174,20
1586729403,30515,1245,26
1586817603,31970,1345,31
1586907782,32850,1407,36
1586985047,33394,1484,36
1587080222,34488,1597,44
1587167222,35613,1711,51
1587252663,36632,1798,51
1587342182,37042,1845,51
1587394562,37042,1845,55
1587436157,38755,1971,58
1587506523,40877,2072,65
1587594782,41232,2210,71
