seconds_since_Epoch,tested,positive,deaths
1583651326,39,1,
1583700173,44,2,
1583790458,50,3,
1583855685,50,5,
1583880061,61,8,
1583951429,69,9,
1584029116,132,15,
1584055830,134,17,0
1584137412,147,30,0
1584225606,395,41,0
1584243426,395,41,1
1584295521,408,45,1
1584396921,489,51,1
1584475630,1028,67,1
1584563351,1278,77,1
1584641940,1923,94,2
1584750869,2325,114,2
1584832449,2790,152,2
1584894600,3337,219,3
1584982168,3697,254,6
1585077155,4470,290,7
1585158458,5370,391,9
1585251221,6189,460,13
1585334649,7337,604,14
1585408369,9166,739,17
1585493990,10609,890,22
1585576085,12038,1020,25
1585676595,13401,1250,27
1585747613,15344,1484,34
1585834570,17589,1706,41
1585925702,19005,2012,46
1586015943,21552,2407,52
1586099222,23671,2637,52
1586181843,24521,2878,54
1586277062,28645,3333,63
1586352722,30645,3645,75
1586440203,33026,4042,109
1586525763,35459,4509,121
1586621042,37999,5077,130
1586708299,39985,5274,141
1586795582,41401,5747,149
1586878503,42763,6171,154
1586963762,44169,6500,195
1587044163,46444,6889,208
1587134762,48997,7491,231
1587252663,51931,8053,258
1587314942,54733,8537,277
1587394562,56735,8990,300
1587486302,58354,9630,324
1587595142,60778,10266,349
