seconds_since_Epoch,tested,positive,deaths
1583651326,36,0,
1583713441,47,0,
1583790458,63,0,
1583900199,77,2,
1583981097,121,2,
1584055830,126,3,
1584063709,158,12,
1584137412,175,16,
1584148400,256,25,
1584243426,264,33,
1584333620,355,53,
1584412310,355,54,
1584475630,355,65,
1584563350,355,80,
1584661658,2449,334,
1584729642,2449,549,
1584734752,2618,549,
1584750868,2618,549,3
1584820938,2618,787,5
1584907292,2618,1035,8
1584992546,2618,1328,15
1585077155,2618,1791,24
1585169788,2618,2295,43
1585251221,3128,2856,60
1585339080,3929,3657,92
1585342922,13660,3657,92
1585424731,15613,4650,111
1585511978,15613,5486,132
1585595874,15613,6498,184
1585602613,22017,6498,184
1585682138,24824,7615,259
1585685048,25601,7615,259
1585776709,29212,9334,337
1585858082,29212,10791,417
1585858803,31550,10791,417
1585946582,37878,12744,479
1586031902,40465,14225,540
1586119923,40465,15718,617
1586201882,40465,17221,727
1586210703,40953,17221,727
1586286062,43383,18970,845
1586374022,43383,20346,959
1586463302,43383,21504,1076
1586549942,43383,22783,1281
1586631335,43383,23993,1392
1586723426,43383,24638,1487
1586730843,82798,24638,1487
1586808712,82798,25635,1602
1586818427,85906,25635,1602
1586891776,85906,27001,1768
1586897043,89036,27001,1768
1586978702,89036,28059,1921
1587067711,89036,29263,2093
1587069182,97093,29263,2093
1587154060,97093,30023,2227
1587167222,102366,30023,2227
1587242043,107791,30791,2308
1587328097,113800,31424,2391
1587414132,118265,32000,2468
1587501902,121298,32967,2700
1587587960,121298,33966,2813
