seconds_since_Epoch,tested,positive,deaths
1583651326,14,0,
1583951429,173,5,
1584412310,173,5,1
1584804875,2101,109,1
1584814995,2508,124,2
1584823540,2602,154,2
1584890168,2638,190,2
1584992546,3735,245,2
1584999109,3735,245,4
1585062732,4232,278,4
1585152300,4572,321,6
1585243622,5117,420,10
1585282623,6696,535,10
1585408369,8522,621,10
1585434179,8522,621,14
1585457169,9150,738,14
1585525735,11000,920,15
1585588836,11215,1008,15
1585634841,11446,1044,17
1585669496,11794,1113,17
1585707860,11794,1113,26
1585755463,12798,1279,26
1585791054,12798,1279,32
1585843611,14046,1458,36
1585858803,14046,1458,38
1585933263,14532,1514,38
1585934162,14532,1514,43
1586015943,16163,1742,43
1586037362,16163,1742,46
1586098502,16831,1836,46
1586190842,17629,1953,46
1586267643,18639,1953,58
1586276882,18639,2087,58
1586313962,18639,2087,71
1586359322,19620,2087,71
1586360343,19620,2216,71
1586374562,19722,2318,71
1586377322,20566,2318,71
1586400902,20566,2318,80
1586451902,21771,2456,80
1586478662,21771,2456,86
1586536382,22749,2584,86
1586562771,22749,2584,102
1586621042,23587,2700,102
1586637089,23587,2700,107
1586647152,23587,2700,108
1586655242,23587,2700,111
1586675081,23587,2700,112
1586713623,24611,2836,112
1586738971,24611,2836,114
1586795582,25464,2971,114
1586824503,25464,2971,120
1586879162,25910,3009,120
1586884443,26368,3077,120
1586887922,26661,3088,120
1586915462,26661,3088,130
1586963762,27655,3211,130
1586967662,27655,3211,131
1587007082,27655,3211,137
1587052203,28451,3321,137
1587081132,28451,3321,142
1587134762,29762,3524,142
1587225243,30751,3626,151
1587256322,30751,3626,155
1587314942,31598,3728,155
1587342362,31598,3728,157
1587394562,32347,3830,158
1587486302,33055,3937,163
1587587960,33888,4081,172
